id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName,Wordcount
music/2024/feb/08/taylor-swift-2024-presidential-election,article,music,Music,2024-02-08 13:00:13+00:00,Could Taylor Swift really swing the 2024 presidential election?,https://www.theguardian.com/music/2024/feb/08/taylor-swift-2024-presidential-election,https://content.guardianapis.com/music/2024/feb/08/taylor-swift-2024-presidential-election,False,pillar/arts,Arts,1513
us-news/ng-interactive/2024/feb/08/14th-amendment-insurrection-disqualify-trump,interactive,us-news,US news,2024-02-08 13:00:13+00:00,Trump’s supreme court case hinges on the 14th amendment – what it actually means,https://www.theguardian.com/us-news/ng-interactive/2024/feb/08/14th-amendment-insurrection-disqualify-trump,https://content.guardianapis.com/us-news/ng-interactive/2024/feb/08/14th-amendment-insurrection-disqualify-trump,False,pillar/news,News,1361
commentisfree/2024/feb/08/royal-society-of-literature-books-bernardine-evaristo,article,commentisfree,Opinion,2024-02-08 13:00:12+00:00,I will defend the Royal Society of Literature against all attacks. It is more alive than ever | Bernardine Evaristo,https://www.theguardian.com/commentisfree/2024/feb/08/royal-society-of-literature-books-bernardine-evaristo,https://content.guardianapis.com/commentisfree/2024/feb/08/royal-society-of-literature-books-bernardine-evaristo,False,pillar/opinion,Opinion,1053
technology/2024/feb/08/iran-backed-hackers-interrupt-uae-tv-streaming-services-with-deepfake-news,article,technology,Technology,2024-02-08 12:17:37+00:00,Iran-backed hackers interrupt UAE TV streaming services with deepfake news,https://www.theguardian.com/technology/2024/feb/08/iran-backed-hackers-interrupt-uae-tv-streaming-services-with-deepfake-news,https://content.guardianapis.com/technology/2024/feb/08/iran-backed-hackers-interrupt-uae-tv-streaming-services-with-deepfake-news,False,pillar/news,News,493
world/2024/feb/08/us-funding-failure-serious-battlefield-consequences-ukraine-war,article,world,World news,2024-02-08 12:00:12+00:00,"US funding failure will have serious battlefield consequences, says Ukraine",https://www.theguardian.com/world/2024/feb/08/us-funding-failure-serious-battlefield-consequences-ukraine-war,https://content.guardianapis.com/world/2024/feb/08/us-funding-failure-serious-battlefield-consequences-ukraine-war,False,pillar/news,News,765
news/2024/feb/08/whats-eating-europes-farmers-inside-the-9-february-guardian-weekly,article,news,News,2024-02-08 11:00:11+00:00,What’s eating Europe’s farmers? Inside the 9 February Guardian Weekly,https://www.theguardian.com/news/2024/feb/08/whats-eating-europes-farmers-inside-the-9-february-guardian-weekly,https://content.guardianapis.com/news/2024/feb/08/whats-eating-europes-farmers-inside-the-9-february-guardian-weekly,False,pillar/news,News,620
science/2024/feb/08/uk-leading-agricultural-research-facility-rothamsted-facing-funding-crisis,article,science,Science,2024-02-08 09:00:08+00:00,UK’s leading agricultural research facility facing funding crisis,https://www.theguardian.com/science/2024/feb/08/uk-leading-agricultural-research-facility-rothamsted-facing-funding-crisis,https://content.guardianapis.com/science/2024/feb/08/uk-leading-agricultural-research-facility-rothamsted-facing-funding-crisis,False,pillar/news,News,1077
australia-news/2024/feb/08/right-to-disconnect-bill-passes-senate-but-needs-urgent-fix-to-remove-criminal-penalties-for-employers,article,australia-news,Australia news,2024-02-08 08:20:21+00:00,Right to disconnect bill passes Senate but needs urgent fix to remove criminal penalties for employers,https://www.theguardian.com/australia-news/2024/feb/08/right-to-disconnect-bill-passes-senate-but-needs-urgent-fix-to-remove-criminal-penalties-for-employers,https://content.guardianapis.com/australia-news/2024/feb/08/right-to-disconnect-bill-passes-senate-but-needs-urgent-fix-to-remove-criminal-penalties-for-employers,False,pillar/news,News,683
football/2024/feb/08/manchester-united-under-18s-bright-future-academy-kobbie-mainoo,article,football,Football,2024-02-08 08:00:07+00:00,"Played 14, won 14: Manchester United Under-18s offer hope of bright future",https://www.theguardian.com/football/2024/feb/08/manchester-united-under-18s-bright-future-academy-kobbie-mainoo,https://content.guardianapis.com/football/2024/feb/08/manchester-united-under-18s-bright-future-academy-kobbie-mainoo,False,pillar/sport,Sport,793
australia-news/live/2024/feb/08/australia-politics-live-png-prime-minister-marape-parliament-question-time-anthony-albanese-peter-dutton-stage-three-tax-cuts-ir-law-right-to-disconnect,liveblog,australia-news,Australia news,2024-02-08 07:16:52+00:00,Right to disconnect bill passes Senate – as it happened,https://www.theguardian.com/australia-news/live/2024/feb/08/australia-politics-live-png-prime-minister-marape-parliament-question-time-anthony-albanese-peter-dutton-stage-three-tax-cuts-ir-law-right-to-disconnect,https://content.guardianapis.com/australia-news/live/2024/feb/08/australia-politics-live-png-prime-minister-marape-parliament-question-time-anthony-albanese-peter-dutton-stage-three-tax-cuts-ir-law-right-to-disconnect,False,pillar/news,News,18221
